PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Aaron Rodgers,GB,588.8,377.9,4183.8,34.1,9.1,58.9,314.3,2.1,2.5,324.5
Tom Brady,NE,586.5,386.5,4635.9,33,8.7,27.7,40.9,0.9,2.4,304.6
Russell Wilson,SEA,533.3,328.5,3868.3,26.3,12.5,90.4,502.3,3.2,2.5,299.4
Deshaun Watson,HOU,508.8,308.4,3754.2,27.4,15.7,76.2,448.3,3.5,2.6,289
Cam Newton,CAR,512.3,299.6,3477.0,22.2,14.4,120.9,625.7,5.1,2.2,287.5
Drew Brees,NO,570.5,392.6,4534.6,29.3,12.8,26.7,61.4,1.4,2.3,282.9
Andrew Luck,IND,543.1,340.7,3967.1,26.3,14.8,55.7,274.7,1.9,2.5,268
Matthew Stafford,DET,573.9,372,4261.7,27,12,34.8,129.1,1,2.8,267.6
Carson Wentz,PHI,516.2,318.3,3730.1,26.5,10.8,66.4,276.3,1.9,2.6,267.4
Ben Roethlisberger,PIT,574.6,368.4,4407.4,28.6,14.7,23.6,61,0.7,2.3,267.2
Kirk Cousins,MIN,548.6,358.3,4101.9,25.8,13.5,49.1,164.5,2.5,2.9,266
Alex Smith,WAS,532.8,342.6,3917.3,24.3,9,58,263.2,1.8,3.5,265.6
Jimmy Garoppolo,SF,571.3,367.9,4314.3,24.5,12,39.8,115.8,1.5,2.6,262.4
Philip Rivers,LAC,569.4,354.9,4322.7,28.6,13.7,19,37,0.3,2.5,260.6
Matt Ryan,ATL,549,359.6,4239.3,25.3,12,34.4,118.8,0.8,2.3,258.7
Jared Goff,LAR,535,325.4,3985.6,27.3,11.4,29.5,80.3,1.1,2.9,254.4
Marcus Mariota,TEN,504,310.6,3560.8,21.6,14,65.4,352.4,3.1,2.6,249.3
Dak Prescott,DAL,498.7,311.1,3453.1,21.6,12.5,59.4,326.7,3.7,2.6,249
Blake Bortles,JAC,524.9,314,3616.2,21.7,12.9,58.1,329.4,2.3,2.6,247.3
Patrick Mahomes,KC,528.8,334.4,3815.0,22.9,13.8,56.5,231.6,1.9,2.8,245.2
Ryan Tannehill,MIA,552.3,348.4,3862.6,21.9,14.9,39.8,168.4,1.3,2.6,231.7
Case Keenum,DEN,553.5,345.7,3835.9,21.7,12.7,39.4,148.4,1.2,3.1,230.2
Derek Carr,OAK,566.4,345.4,3831.7,24.2,13.2,27.1,76.2,0.6,2.8,228.8
Andy Dalton,CIN,533.4,322.2,3650.3,23.4,13.4,40.9,139.2,1.3,3.1,228.6
Mitch Trubisky,CHI,525.4,316.3,3433.6,19.8,13.7,58.9,296.2,2.2,2.9,226.2
Eli Manning,NYG,590.7,361.4,3863.2,23.8,14.6,15.3,33,0.7,2.5,223.1
Jameis Winston,TB,465.8,289.6,3445.8,20.7,11.8,33.8,138.5,1.3,2.4,213.9
Tyrod Taylor,CLE,426.1,257.7,2774.9,15.7,7.5,64.2,346.6,2.8,2.2,205.9
Joe Flacco,BAL,549.5,337.7,3452.6,19.7,13.6,23.5,65.7,1.1,1.9,198.6
Sam Darnold,NYJ,392,237.4,2767.7,15.2,12.6,32.7,134.9,1,3.2,159.5
Josh Allen,BUF,386.8,227.3,2641.3,14.5,13.4,32.1,145.5,1.1,2.6,152.9
Sam Bradford,ARI,337.4,218,2459.7,13.8,7.5,12.6,34.7,0.2,1.4,141
Josh Rosen,ARI,245.4,150.8,1633.2,8.5,6.2,13.4,49.4,0.3,1.6,90.7
AJ McCarron,BUF,114.9,67.5,1018.7,5.6,4.1,10,44.3,0.3,1,59.1
Baker Mayfield,CLE,130.7,76.6,917.9,5.3,3.8,11.7,53.8,0.4,1.1,55.7
Josh McCown,NYJ,139.3,85.8,820.5,5.1,3.2,11.1,33.3,0.5,0.1,52.8
Ryan Fitzpatrick,TB,126.1,75.9,858.2,4.5,3.2,8.1,34.3,0.2,0.3,50.2
Lamar Jackson,BAL,47.3,27.1,273.5,1.8,1,15.7,73.4,0.6,0.8,25.2
Nick Foles,PHI,59.3,36,362.6,2.9,1.7,5.4,15.2,0.1,0.1,24.6
Jacoby Brissett,IND,36.8,21.9,223.1,1.4,1.2,6,28.1,0.3,0.1,16.6
Brandon Weeden,HOU,38.6,23.1,262.0,1.5,1.3,2.9,6.6,0,0,14.8
Landry Jones,PIT,35,20.7,237.5,1.1,1.1,2.4,8.2,0,0,13
Connor Cook,OAK,32.4,19.8,226.5,1.2,1,2.3,8.1,0,0,12.9
Blaine Gabbert,TEN,33,18.8,212.9,1.3,1.1,2,8,0,0,12.5
David Fales,MIA,33.1,19.2,164.4,0.9,1,2.7,17.9,0.1,0.2,10.2
Chase Daniel,CHI,20.8,12.9,147.1,0.8,0.2,1.2,2.4,0,0,8.9
Matt Barkley,CIN,23.6,14.2,163.3,0.7,0.6,1.2,3.6,0,0,8.8
Davis Webb,NYG,21.6,12.7,140.3,0.6,0.5,1.2,5.4,0,0.1,7.5
Jake Rudock,DET,23.1,12.7,147.5,0.6,0.8,1.2,4.6,0,0,7.3
Colt McCoy,WAS,17.6,10.6,122.8,0.7,0.5,1.5,4.6,0,0,7
Chad Kelly,DEN,18.5,10.9,111.5,0.6,0.7,2.1,12.6,0.1,0.1,7
Brett Hundley,GB,15.6,8.8,95.7,0.5,0.6,2,14.4,0.1,0.1,6.6
Cooper Rush,DAL,14.1,8,89.7,0.5,0.3,1.7,8.9,0,0,6
Austin Davis,SEA,16.3,9.8,110.2,0.5,0.3,0.8,2.3,0,0,6
Nathan Peterman,BUF,14,8.2,89.5,0.5,0.6,1.1,11.7,0.1,0.1,5.9
C.J. Beathard,SF,16.6,9.8,107.0,0.3,0.3,1.4,6.9,0,0,5.9
Trevor Siemian,MIN,14.3,8.8,96.3,0.4,0.3,1.3,9,0.1,0.1,5.7
Teddy Bridgewater,NYJ,16.7,9.8,109.9,0.5,0.5,0.9,3.2,0,0,5.7
Brock Osweiler,MIA,15.4,9.1,102.3,0.5,0.5,0.4,5.7,0,0.1,5.6
Ryan Griffin,HOU,16.3,8.7,99.6,0.5,0.5,1,3.6,0,0.1,5.1
Cody Kessler,JAC,13.6,7.9,88.7,0.5,0.3,0.9,2.3,0,0,5.1
Paxton Lynch,DEN,15,8.6,92.8,0.4,0.4,0.9,4.4,0,0,5.1
Sean Mannion,LAR,14.7,8.2,91.4,0.3,0.4,2.4,8.1,0,0.1,5.1
Brian Hoyer,NE,10.1,5.9,68.0,0.4,0.3,0.7,7.3,0.1,0.1,4.8
Tom Savage,NO,14.1,8.6,91.0,0.3,0.4,1.2,2.9,0,0,4.7
Chad Henne,KC,13.2,8,90.4,0.3,0.5,1.1,2.4,0,0,4.2
DeShone Kizer,GB,9.8,5.8,64.3,0.2,0.2,1.5,7,0,0,3.8
Mason Rudolph,PIT,8.8,5.3,60.8,0.4,0.3,0.3,1.2,0,0,3.6
Matt Schaub,ATL,9.1,5.7,67.8,0.3,0.2,0.6,1,0,0,3.6
Geno Smith,LAC,11.3,6.2,70.0,0.2,0.3,1,3,0,0,3.3
EJ Manuel,OAK,9.6,5.4,62.7,0.2,0.2,0.6,3.7,0,0,3.2
Taylor Heinicke,CAR,9.3,5.3,59.7,0.2,0.1,0.3,0.3,0,0,3.2
Kevin Hogan,WAS,1,1,40.8,0.2,0.3,0,4.2,0,0.1,2.3
Matt Cassel,DET,2,1.3,11.5,0,0,0,0.1,0,0,0.5
Mike White,DAL,1.4,0.8,10.1,0.1,0.1,0.1,0.2,0,0,0.5
Robert Griffin,BAL,1,0.5,5.5,0,0,0.5,1.5,0,0,0.4
Danny Etling,NE,0,0,2.0,0,0,0,0,0,0,0.1
Garrett Gilbert,CAR,0,0,2.0,0,0,0,0,0,0,0.1
Logan Woodside,CIN,0,0,2.0,0,0,0,0,0,0,0.1
Tanner Lee,JAC,0,0,2.0,0,0,0,0,0,0,0.1
Kyle Lauletta,NYG,0,0,2.0,0,0,0,0,0,0,0.1
Luke Falk,TEN,0,0,2.0,0,0,0,0,0,0,0.1
Alex McGough,SEA,0,0,2.0,0,0,0,0,0,0,0.1
Cardale Jones,LAC,0,0,0.0,0,0,0,0,0,0,0
Joe Callahan,PHI,0,0,0.0,0,0,0,0,0,0,0
Tyler Bray,CHI,0,0,0.0,0,0,0,0,0,0,0
Matt McGloin,KC,0,0,0.0,0,0,0,0,0,0,0
Joe Webb,HOU,0,0,0.0,0,0,0,0,0,0,0
Nate Sudfeld,PHI,0,0,0.0,0,0,0,0,0,0,0
Taysom Hill,NO,0,0,0.0,0,0,0,0,0,0,0
Mike Glennon,ARI,0,0,0.0,0,0,0,0,0,0,0
Christian Hackenberg,PHI,0,0,0.0,0,0,0,0,0,0,0
Alex Tanney,NYG,0,0,0.0,0,0,0,0,0,0,0
Bryce Petty,MIA,0,0,0.0,0,0,0,0,0,0,0
Drew Stanton,CLE,0,0,0.0,0,0,0,0,0,0,0
