PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Cam Newton,CAR,504.8,301.6,3716.3,26.6,12,125.5,620,7.5,3.9,330.3
Aaron Rodgers,GB,565.4,357.4,4300.3,33.3,7,56.3,262.1,2.1,3.3,323.5
Russell Wilson,SEA,483.2,315.8,3821.4,27.8,10.6,107.7,580.1,3.4,3.5,314.5
Andrew Luck,IND,620.7,364.5,4347,32.5,16.8,63.5,278.7,2.2,3.5,304.3
Drew Brees,NO,642.1,430.2,4798.2,31.7,14.6,21.2,40.4,1,3.6,292.1
Ben Roethlisberger,PIT,587.4,384.3,4615.2,29.3,13.9,25,60,0.9,2.8,279.7
Carson Palmer,ARI,567.8,356.5,4428.6,29.9,13.1,21.8,50.9,0.8,3.4,273.7
Eli Manning,NYG,608.1,380.2,4386.1,29.9,14.6,19.7,55.4,0.4,3.2,267.6
Philip Rivers,SD,619.3,404.7,4506.7,29.2,15.1,21,44.3,0.2,3.3,266.1
Blake Bortles,JAC,562.3,329.5,3855.5,27.6,16.7,57,299.4,1.9,3.4,265.5
Andy Dalton,CIN,510,325.2,3827,26.6,12.6,58.7,187.3,2.3,3.3,260
Tyrod Taylor,BUF,466.5,287.4,3327.5,20.1,10.9,107.7,509,3.4,3,257
Ryan Tannehill,MIA,587.5,363.1,4084.9,24.9,13.6,41.3,192.7,1.1,3.3,255.4
Kirk Cousins,WAS,562.5,367.9,4126.5,26.1,14.4,29,82.2,2.1,3.6,254.4
Matthew Stafford,DET,586.2,379,4236.6,24.6,13.8,36.4,123.3,1.3,3.3,253.6
Derek Carr,OAK,591.1,358.3,3951.9,28.2,14.1,30.9,110.6,0.7,3.3,250.9
Jameis Winston,TB,544.6,324.1,3901.2,23.6,16.9,52.8,201.6,3.3,3.2,250.4
Marcus Mariota,TEN,504,313.9,3570.6,22,14.8,66.2,384.1,3,3.6,250.3
Tom Brady,NE,496.4,316.7,3580.4,27.9,6.4,24.9,45.5,1.3,2.3,250
Matt Ryan,ATL,608.1,402,4492.6,24.8,15.7,30.1,80.1,0.4,3.9,249.9
Ryan Fitzpatrick,NYJ,554.6,331.4,3760.6,25.1,15.4,57.3,246.8,2.1,3.9,249.7
Alex Smith,KC,482.9,308.8,3416.4,21.2,8.9,76.5,369.8,1.8,3.2,245.1
Joe Flacco,BAL,598.6,367.3,4084.4,24.6,15.5,25.6,58.4,1.5,3,239.3
Jay Cutler,CHI,531.8,336.1,3813.9,23.3,15.2,40.2,169.5,1.2,3.1,233.3
Brock Osweiler,HOU,545.2,330.1,3502.8,21.4,12.6,44.8,115.8,1,2.9,212.3
Robert Griffin,CLE,488.4,301.2,3127.1,16.4,12.5,62.4,279.7,1.7,3.3,197.2
Blaine Gabbert,SF,498.7,297.5,3193.3,16,13.6,56.2,257.1,1.7,4.3,192
Sam Bradford,PHI,496.1,307.6,3280.1,19.7,12.8,20,40.5,0.7,2.9,186.8
Tony Romo,DAL,350.5,230.1,2579.8,18.6,8,14.2,42,0.4,1.9,164.5
Jared Goff,LA,340,204.8,2302.6,12.1,10.2,29.4,102.6,0.7,1.8,131.3
Dak Prescott,DAL,252.9,155.1,1576,10,6.6,29.6,136,1.2,1.9,106.9
Trevor Siemian,DEN,327.9,196.9,1781.3,9.7,9.6,18,69.1,0.5,2.4,95.7
Paxton Lynch,DEN,215.3,126.5,1206.3,7,6.5,19,73.8,0.4,1.6,70.2
Shaun Hill,MIN,273.3,164.5,1234.1,6.6,5.7,13.8,29.7,0.3,0.7,67.7
Colin Kaepernick,SF,132.3,78,875,5.2,5.7,17,139.7,0.8,0.6,62.4
Jimmy Garoppolo,NE,215,130.2,934.7,6.2,3.2,8.4,26.3,0.2,0.7,58.2
Case Keenum,LA,234.8,140.6,1114.9,5.4,4.7,11.4,37,0.3,2.5,57.4
Josh McCown,CLE,132.1,81,840.8,6.2,3.6,6.2,45.5,0.1,0.6,55.2
Mark Sanchez,DEN,211.1,128.6,778.4,4.8,3.7,9.7,29.3,0.2,0.1,46.9
Carson Wentz,PHI,152.1,89.4,590.6,3.4,2.9,10,38.7,0.4,0.8,36.4
Brandon Weeden,HOU,122.7,71.7,635,3.6,2.8,1.2,7.5,0,0.1,34.7
Ryan Mallett,BAL,103.4,58.7,583.8,2.5,1.5,0.6,15.4,0.3,0.1,33.2
Brian Hoyer,CHI,99.7,60.6,551.8,2.8,1.8,2,11.8,0.1,0.1,31.4
