PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
DeAndre Hopkins,HOU,104.5,1464.5,10.1,0.5,-0.6,0,0.9,205.3
Julio Jones,ATL,106.1,1553.7,8.3,1.6,10.8,0,0.9,204.3
Tyreek Hill,KC,82.6,1316.8,8.9,14.4,103.7,1,0.5,200.2
Davante Adams,GB,104.7,1330.7,10.7,0,0,0,0.5,196.4
JuJu Smith-Schuster,PIT,104,1389.9,8.8,0.5,4.5,0,0.5,191
Michael Thomas,NO,113.1,1338.5,8.4,0,0,0,0.6,182.9
Mike Evans,TB,87.1,1389.0,7.5,0,0,0,0.5,182.7
Odell Beckham Jr.,CLE,89,1249.1,9,4.1,16.9,0,0.5,180
Antonio Brown,OAK,95.2,1221.4,8.9,0,0,0,0.5,174.6
Keenan Allen,LAC,98,1273.7,6.7,3.7,27.6,0,0.6,169.2
T.Y. Hilton,IND,79.9,1255.8,6.5,0,0,0,0.5,163.6
Adam Thielen,MIN,90.5,1171.4,6.7,3.6,20.9,0,0.5,158.6
Brandin Cooks,LAR,74.6,1134.7,6.1,7.6,46.4,0.4,0.5,156.2
Julian Edelman,NE,91.9,1100.1,6.3,8.3,76.5,0.2,0.5,155.9
Amari Cooper,DAL,80.3,1092.0,7.7,1.2,9.2,0,0.6,154.9
Robert Woods,LAR,78.4,1062.9,5.7,11.9,84.8,0.8,0.5,152.2
Stefon Diggs,MIN,90.4,1018.8,7.5,7.1,35.2,0,0.5,149.5
Tyler Lockett,SEA,64.7,1021.4,7,8.7,54.3,0.1,0.5,149
Kenny Golladay,DET,74,1090.6,6.1,0.9,6.8,0,0.5,145.4
Cooper Kupp,LAR,70.7,943.7,7.4,3.6,22.9,0,0.5,140.5
Chris Godwin,TB,73.1,992.1,6.3,0,0,0,0.6,135.6
Tyler Boyd,CIN,76.2,989.9,5.8,1,3.4,0,0.4,133.1
Mike Williams,LAC,56.9,836.3,7.4,3.7,19.4,0.3,0.1,132
A.J. Green,CIN,64.7,940.6,6.3,0,0,0,0.9,130.2
Alshon Jeffery,PHI,66.1,896.4,6.5,0,0,0,0.5,127.7
Robby Anderson,NYJ,58.7,869.6,6.7,3.1,11.3,0,0.5,127.5
D.J. Moore,CAR,64.9,891.4,4.4,13,127.8,0.1,1.3,126.2
Allen Robinson,CHI,66.1,919.3,5.7,0.6,3.9,0.1,0.5,125.8
Sammy Watkins,KC,62.9,886.1,5.9,2.6,19.2,0,0.5,124.9
Calvin Ridley,ATL,64.2,808.1,6.8,5.5,28.7,0,0.5,123.7
Josh Gordon,NE,52.7,873.7,5.8,0,0,0,0.6,121.1
Jarvis Landry,CLE,73,863.1,5.1,3.5,30.8,0.3,0.5,120.9
Marvin Jones,DET,55.8,827.7,6.1,0,0,0,0.4,118.6
Christian Kirk,ARI,65.4,864.1,4.8,2.2,18.2,0,0.5,116.2
Dante Pettis,SF,56.1,796.6,5.8,0.9,0.1,0,0.4,113.8
Sterling Shepard,NYG,64.6,846.4,4.6,2.6,16.1,0,0.4,113.1
Will Fuller,HOU,54.6,790.7,5.7,0.5,2.4,0,0.4,112.6
Curtis Samuel,CAR,54.4,679.3,4.8,10.8,97.6,1.1,0.4,112.4
Dede Westbrook,JAC,67.6,778.4,5,4.7,40.1,0,1,110.2
Corey Davis,TEN,60.9,799.4,4.3,4,32.4,0,0.5,108.1
Larry Fitzgerald,ARI,69,754.5,5.5,0,0,0,0.5,107.3
Emmanuel Sanders,DEN,65.3,791.1,4,1.5,14.4,0.3,0.5,105
Kenny Stills,MIA,48.1,726.5,4.9,0,0,0,0.5,101
DeSean Jackson,PHI,43.6,712.1,4.1,4.1,27.9,0.4,0.4,100
Courtland Sutton,DEN,48.7,730.5,4.5,0.5,0.2,0,0.1,99.6
Mohamed Sanu,ATL,60,731.8,3.7,3.7,24.4,0.1,0.5,97.4
Michael Gallup,DAL,46,701.0,4.3,0,-0.2,0,0.1,95.6
Tyrell Williams,OAK,50.3,710.1,3.8,0.6,3.9,0,0.5,93.3
Donte Moncrief,PIT,49.6,667.1,4.5,0,0,0,0.4,92.9
