PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Patrick Mahomes,KC,581.5,379.9,4781.6,36.2,13.3,52.4,220.5,2,2,339.3
Deshaun Watson,HOU,511.5,337.8,4072.3,26.4,12,95.2,501.2,4.4,2.7,315.6
Aaron Rodgers,GB,590,374.8,4283.3,29.5,7.6,46.2,260.5,2.1,2.1,308.6
Matt Ryan,ATL,584.5,394.9,4633.8,30,10.6,48.2,131.9,1.5,2.1,301.9
Andrew Luck,IND,577,379.2,4330.0,31.9,13.7,49.7,210.2,1.2,2.4,296.6
Cam Newton,CAR,520.2,339.6,3805.2,24.4,13.8,112.9,510.4,4.4,1.7,296.5
Drew Brees,NO,538.8,387.4,4340.9,30.6,8.8,24.7,39.2,1.9,1.6,290.7
Jameis Winston,TB,564.5,358.9,4454.0,27.5,16.6,57,277.2,1.6,2.7,287.1
Dak Prescott,DAL,522.7,344.7,3862.0,23.7,10.8,68,311.2,5.3,2.3,285.9
Carson Wentz,PHI,568.9,376.8,4245.6,30.1,12.2,52.4,192.4,1,2.6,285.8
Baker Mayfield,CLE,561.9,361.1,4309.9,30.9,14.5,47.1,182.6,0.9,2.4,285.7
Jared Goff,LAR,549.3,351,4367.5,30.3,11.7,31.1,102.9,1.2,2.2,285.6
Ben Roethlisberger,PIT,620.4,407.3,4651.8,29.4,15.2,23.3,74.2,1.2,1.8,284.4
Russell Wilson,SEA,454.7,292.8,3570.4,27.8,9.5,73,361.8,2,2.1,279.3
Lamar Jackson,BAL,436,258.7,3013.4,17.4,10.8,177.7,829.4,6.4,5.2,279.3
Tom Brady,NE,580.7,379.1,4371.5,29.2,10.8,20.8,37.6,1,1.5,277.1
Mitch Trubisky,CHI,513.8,334.6,3776.5,25.1,13,66.2,378.7,2.4,2.4,272.9
Kirk Cousins,MIN,573.3,394.9,4154.7,27.4,11.9,38.8,133.2,1.9,2.4,271.5
Philip Rivers,LAC,546.8,360.7,4371.5,29.7,12.3,13.7,24.4,0.2,1.4,270
Kyler Murray,ARI,544.5,336.1,3722.2,21.4,14.5,107,505.1,3.1,3.2,268.4
Josh Allen,BUF,478.6,270.1,3204.7,17.4,14.4,102.5,609.4,6.2,2.7,261.8
Jimmy Garoppolo,SF,520.2,333.9,4069.8,25.2,14.4,37.7,123.4,1.3,2,250.6
Derek Carr,OAK,570.5,379.6,4105.2,23.9,12.3,24.5,68.6,0.6,2.1,241.9
Matthew Stafford,DET,557.6,367.5,3940.1,24,11.4,28.9,77.9,0.7,1.7,239.4
Andy Dalton,CIN,536.8,333.4,3706.0,24.2,13.7,32.9,120.2,0.9,1.7,231.3
Sam Darnold,NYJ,531.7,322.2,3671.8,22.9,15.6,47.9,188.4,1.6,2.2,231.1
Marcus Mariota,TEN,446.1,293.4,3263.5,18.3,12.6,70.2,358,2.6,2.4,225.3
Nick Foles,JAC,532.2,339.1,3783.1,21.6,13.4,33.1,76.5,0.9,2,220.3
Joe Flacco,DEN,470,289.1,3212.8,17.8,11.8,24.1,91.1,0.9,1.3,188.1
Eli Manning,NYG,467.9,294.8,3219.4,18.2,10.3,19.5,48.4,1,2,187.4
Ryan Fitzpatrick,MIA,302.7,189.5,2545.5,15.2,11.1,29.3,185,1.4,1,164.8
Dwayne Haskins,WAS,341.7,209.5,2346.3,12.2,10.1,15.5,55.2,0.5,1.4,128.1
Case Keenum,WAS,177.7,108.2,1387.9,7.8,5.9,13.4,59.5,0.6,0.7,82.7
Josh Rosen,MIA,217.8,132.9,1300.2,6.5,6.1,14.7,61,0.3,1.5,71.2
Daniel Jones,NYG,118.9,73.9,908.9,4.9,3.9,8.7,44.2,0.3,0.9,52.8
Drew Lock,DEN,111.3,68.6,772.4,4.1,3.2,8.8,37.4,0.3,0.4,45.4
C.J. Beathard,SF,69.5,41,478.0,2.5,2,4,13,0,0,26.4
Taysom Hill,NO,9.5,5.9,120.0,0.5,0.5,35.1,142.4,1.1,0.5,25.7
Jacoby Brissett,IND,43.8,27,307.3,2.2,1,4.2,16.2,0.1,0.3,20.6
Nate Sudfeld,PHI,39.2,23.1,273.1,2.2,1.8,2.9,13,0,0,17.4
Jeff Driskel,CIN,34,19.9,262.6,1.4,1,4.1,16.7,0.1,0.1,16.2
Ryan Tannehill,TEN,35.2,21.9,280.4,1.5,1.5,4,14.6,0.1,0.1,15.9
