PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Aaron Rodgers,GB,604.2,392.7,4432.6,35.4,8.8,59.9,335.6,2.5,3.7,342.6
Tom Brady,NE,598.8,393.8,4702.2,35.6,8.2,34.7,78.3,1.3,3,324.1
Drew Brees,NO,646.8,438.2,4932.5,33.5,14.4,22.8,41.8,1.2,3.4,307.2
Matt Ryan,ATL,556.4,374.7,4637.2,32.4,11.2,34.3,98.3,0.8,3,301
Russell Wilson,SEA,533.1,341.2,4092.3,27.1,11.5,82.8,396.7,2.2,3.4,295.4
Andrew Luck,IND,560.9,346.7,4131.2,29.9,15.8,63.1,307.4,2.2,3.4,290.4
Cam Newton,CAR,524.4,303.8,3754.2,24,13.4,85.5,411.4,4.8,3.9,281.7
Jameis Winston,TB,571.9,355.4,4291.1,28.5,16.2,50.3,182.7,2.5,3.5,279.6
Kirk Cousins,WAS,591.6,385.5,4521.8,25.4,13.1,33,86.6,2.5,3.8,272.4
Marcus Mariota,TEN,512.6,319.1,3793.7,26.5,12.2,58.8,333.5,2.1,3.8,271.9
Dak Prescott,DAL,492.6,318.7,3754.7,24.2,9.5,58.8,278.5,3.5,3.6,269.8
Matthew Stafford,DET,589.1,382.1,4199.7,25.3,12.6,37.9,160.2,1.8,3.3,264.2
Ben Roethlisberger,PIT,550,360.6,4248.4,29.5,13.9,22.7,39.9,0.7,2.7,263.1
Tyrod Taylor,BUF,455.6,283.8,3176.4,19.6,9,92.4,542.6,4.5,3.4,261.7
Philip Rivers,LAC,584.3,364.1,4335.4,30.7,15.8,17.3,39.6,0.2,4.3,261.2
Derek Carr,OAK,587.2,361.2,4074.8,28.1,11.3,35.4,88.6,0.6,3.5,258.7
Andy Dalton,CIN,539,344.1,3992.3,24.3,11.3,49,161.9,2.4,3.4,258.2
Blake Bortles,JAC,567.1,332.3,3711.3,23,15.5,55.4,313.2,2.1,4.3,244.9
Eli Manning,NYG,590.4,367.7,4165.9,27.9,15.3,19,28.6,0.3,3.6,244.9
Carson Wentz,PHI,584.6,354.4,3890.6,22.5,14.4,47.6,171.5,1.9,3.5,238.5
Carson Palmer,ARI,579.3,356.3,4157.5,25.5,15.3,18.5,36.6,0.4,3.7,236.6
Joe Flacco,BAL,618.5,388.3,4057.8,22.3,15.4,24.6,53.3,1.6,2.8,229.8
Alex Smith,KC,497.5,323.8,3511.1,19.8,9.7,54.9,209.8,2.6,4.1,229
Sam Bradford,MIN,531.7,352.6,3723.8,21.4,9.7,21.5,46.7,0.3,3.7,214.3
Jay Cutler,MIA,461.1,289.3,3326.4,21.7,14.2,32.2,129.9,1,3.9,203.1
Brian Hoyer,SF,456.3,278.5,3129.9,17.4,11.5,26.1,62.8,0.4,4,172.4
Jared Goff,LAR,507.5,293.2,3193.9,16.7,15.8,22.6,61.4,0.8,3.2,167.9
