PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Michael Thomas,NO,125.1,1488.1,8.9,0.3,0.9,0,0.5,201.5
Davante Adams,GB,103.2,1301.3,9.6,0,0,0,0.5,186.9
Julio Jones,ATL,99.6,1402.5,6.7,1,4.2,0,0.5,180.1
Tyreek Hill,KC,81.3,1180.6,8.4,9.9,60.7,0.4,0.4,176
Chris Godwin,TB,84,1199.8,7.7,1.5,9.3,0.1,0.5,166.4
DeAndre Hopkins,ARI,95.8,1186.3,7.6,1.3,7.6,0,0.6,164.1
Mike Evans,TB,74.9,1164.0,7.7,1,6.7,0.1,0.5,162.7
Kenny Golladay,DET,71.9,1155.6,7.9,0.3,1.7,0,0.5,162.1
D.J. Moore,CAR,86,1169.1,5.4,5.8,49.2,0.1,1,152.8
Amari Cooper,DAL,76.9,1095.4,7.1,1,6.6,0,0.5,152
Adam Thielen,MIN,77.7,1072.5,7,4,20.2,0.3,0.5,152
A.J. Brown,TEN,64.6,1075.2,6.6,4.4,38.7,0.3,0.5,151.8
Robert Woods,LAR,86.8,1093.5,4.8,14.3,92.3,0.8,0.5,151.1
Calvin Ridley,ATL,78.2,1051.0,7.3,1.7,20.1,0,0.5,150.2
Cooper Kupp,LAR,84.3,1055.4,7.3,2,9.9,0,0.6,149.6
Allen Robinson,CHI,86.6,1076.7,6.3,1.4,8.7,0.1,0.5,146
Odell Beckham Jr.,CLE,74.9,1062.8,6.5,3.1,15.8,0,0.5,145.9
Tyler Lockett,SEA,69.5,999.5,6.8,5.2,28.3,0.1,0.5,142.8
Courtland Sutton,DEN,71.4,1048.5,6.3,1.1,5.3,0,0.6,142
Keenan Allen,LAC,85.1,1035.5,5.9,4.7,31.9,0.1,0.5,141.9
DeVante Parker,MIA,71.8,1063.5,6,0.4,2.6,0,0.4,141.7
JuJu Smith-Schuster,PIT,82.4,1052.1,6.2,0.3,2.7,0,0.5,141.6
Terry McLaurin,WAS,69.6,1038.8,6.1,0,0,0,0.5,139.7
D.K. Metcalf,SEA,64,968.6,7,1.4,7.7,0,1.2,137.6
T.Y. Hilton,IND,70.9,1030.5,5.9,0,0,0,0.5,137.6
Stefon Diggs,BUF,65.5,963.4,5.9,6.7,50.8,0.1,0.6,136.2
Michael Gallup,DAL,62.6,1003.5,6,0,0,0,0.4,135.8
Jarvis Landry,CLE,72.9,968.2,5.6,0.7,12.7,0.3,0.5,132.9
A.J. Green,CIN,69.2,994.3,5.7,0,0.7,0,0.8,132.3
Marquise Brown,BAL,63.7,847.1,6.4,6.3,60,0.3,0.4,130.4
D.J. Chark,JAC,71.6,965.7,5.6,1.2,8.7,0,0.5,130.1
Marvin Jones,DET,63.6,861.6,6.5,1.1,3.5,0,0.4,124.9
Tyler Boyd,CIN,75.9,928.9,5.1,2.2,12.7,0,0.5,123.6
Julian Edelman,NE,75.3,887.8,4.9,9.1,54.1,0.1,0.6,123.2
Jamison Crowder,NYJ,74.1,848.3,5.6,1,6.3,0,0.5,117.9
Will Fuller,HOU,60.5,837.9,5.2,2.7,18,0.1,0.4,116.5
Brandin Cooks,HOU,60.5,853.6,4.6,4.9,35.1,0.1,0.5,116.3
Diontae Johnson,PIT,67.1,809.1,5.5,3.7,27.3,0,0.9,115.3
Christian Kirk,ARI,68,785.5,4.8,8.1,62.3,0.1,0.4,113.1
Sterling Shepard,NYG,69,796.5,4.9,5.1,39.4,0.1,0.4,112.3
John Brown,BUF,53.3,793.8,5.3,2.5,12.9,0.1,0.4,111.8
Preston Williams,MIA,61.4,818.9,5.2,0.7,3.6,0,0.8,111.6
Deebo Samuel,SF,53.1,705.0,4,11,113,0.9,0.5,110.6
Golden Tate,NYG,64.8,788.4,4.9,2.1,14.4,0,0.5,108.9
Breshad Perriman,NYJ,46.8,773.6,5.1,2,8.4,0,0.1,108.7
Darius Slayton,NYG,51.4,752.7,5.6,0,0,0,0.4,108.1
Mike Williams,LAC,44.9,755.6,4.5,3.5,18.7,0.4,0.1,107.1
DeSean Jackson,PHI,49.9,747.6,4.7,4.3,24.5,0.4,0.4,107
CeeDee Lamb,DAL,53.6,763.1,4.7,1,6.3,0,0.8,103.4
Emmanuel Sanders,NO,57.6,721.8,4.8,1,8.8,0,0.4,101.4
Anthony Miller,CHI,58.2,735.0,4.5,2.6,14.1,0.1,0.5,101.2
