PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Lamar Jackson,BAL,468.4,300.8,3480.1,28.8,11.6,159.5,955,5.9,3.4,355.3
Patrick Mahomes,KC,569.3,371.7,4579.3,34.2,10.7,57.1,297.9,3,2.1,342.1
Dak Prescott,DAL,572.5,372.6,4498.9,28.7,11.8,60.7,258.7,3.7,2.8,313.9
Deshaun Watson,HOU,526.1,345.9,4016.0,26.3,12.7,91.6,496.7,4.6,2.6,312.6
Russell Wilson,SEA,491.9,321,3899.0,29.6,8.5,72.4,378.6,2.3,2.3,304.4
Kyler Murray,ARI,559.6,361.2,3960.8,24.9,12.7,87.2,474.5,3.3,2.4,294.9
Josh Allen,BUF,513.8,304.9,3507.9,20.9,12.8,110.5,608.6,6.5,3.7,291
Matt Ryan,ATL,625.1,414,4675.8,28,13.3,34.4,132.5,1.3,3.5,286.6
Tom Brady,TB,571.3,360.4,4337.3,29.1,10.2,24.3,36.6,1.4,1.6,277.9
Drew Brees,NO,533.8,379.9,4183.5,30.4,9.8,23,25.9,1.1,1.4,275.8
Aaron Rodgers,GB,559.8,352.7,4058.5,26.7,8.3,44.2,191.8,1.2,2.7,273.6
Carson Wentz,PHI,562.2,363.9,3998.8,27.4,10,56.9,212.9,1.7,4.5,271.8
Cam Newton,NE,502.8,309.2,3538.6,22.4,13,102.6,395.4,3.7,2.3,262.2
Matthew Stafford,DET,564.5,363.5,4275.1,26.4,11.7,27.5,93.2,0.7,3.3,260.1
Jared Goff,LAR,592.8,377.1,4348.9,25.2,14.5,35.7,88.7,1.3,3.2,255.9
Ryan Tannehill,TEN,452.3,298.2,3643.5,24.3,11.4,58.2,246.5,2.5,3.2,253.5
Daniel Jones,NYG,559.6,351.7,3867.2,24.8,15.5,56.7,292.3,2.5,7.3,252.3
Gardner Minshew II,JAC,544.3,336.3,3764.6,21.6,11.4,65.6,330.2,1.6,5.4,245.9
Baker Mayfield,CLE,511,316.4,3838.7,25.4,14.7,31.7,148.6,1.5,2.3,245.5
Ben Roethlisberger,PIT,544.1,353.1,3987.6,25.8,13.7,22.8,63.3,1.1,2,244.1
Jimmy Garoppolo,SF,482.3,321.9,3840.7,26.3,14.1,40.5,92.2,1.3,3.2,241.4
